lane	rank	song_a_title	song_a_artist	song_b_title	song_b_artist	tests	hypothesis	why_this_matters	diagnostic_weight	curation_status
pop	1	Style	Taylor Swift	Toxic	Britney Spears	melody|energy|romanticism	cool control vs theatrical audacity	Tests whether the user rewards sleek restraint or maximal pop impact.	92	draft_elite
pop	2	All Too Well (10 Minute Version)	Taylor Swift	Rolling in the Deep	Adele	nostalgia|romanticism|energy	intimate memory vs vocal power	Tests whether emotional force lands through private detail or public catharsis.	94	draft_elite
pop	3	The Archer	Taylor Swift	Shake It Off	Taylor Swift	transformation|hope|community	inward transformation vs instant release	Separates listeners who want self-interrogation from listeners who want pop as escape valve.	90	draft_elite
pop	4	Ocean Eyes	Billie Eilish	bad guy	Billie Eilish	atmosphere|dreaminess|energy	haze/vulnerability vs minimalist swagger	Tests whether the user trusts suspended atmosphere or clipped confidence.	89	draft_elite
pop	5	Levitating	Dua Lipa	drivers license	Olivia Rodrigo	groove|community|nostalgia	communal groove vs private ache	Separates dance-floor pleasure from bedroom-confessional attachment.	88	draft_elite
pop	6	Cruel Summer	Taylor Swift	Someone Like You	Adele	energy|hope|nostalgia	bright urgency vs mournful remembrance	Tests whether the user chooses forward charge or emotional afterimage.	87	draft_elite
pop	7	Espresso	Sabrina Carpenter	Vampire	Olivia Rodrigo	verbal_cleverness|energy|darkness	playful wit vs dramatic accusation	Tests whether pop language should flirt, cut, or bleed.	86	draft_elite
pop	8	Green Light	Lorde	Bad Romance	Lady Gaga	transformation|energy|community	breakup propulsion vs theatrical obsession	Separates motion-through-pain from maximal pop spectacle.	88	draft_elite
pop	9	Blank Space	Taylor Swift	Rehab	Amy Winehouse	verbal_cleverness|authenticity|melody	self-aware persona vs raw self-exposure	Tests whether the user rewards constructed character or lived-in confession.	91	draft_elite
pop	10	Teenage Dream	Katy Perry	Video Games	Lana Del Rey	hope|romanticism|dreaminess	euphoric romance vs doomed romance	Tests whether romanticism should lift off or sink slowly.	87	draft_elite
